timestamp,device,warehouse_id,temperature,humidity,voc,carbon_dioxide,hydrogen_sulfide,ammonia,oxygen,missing_timestamp,missing_data,temperature_imputation_method,humidity_imputation_method,ammonia_imputation_method,oxygen_imputation_method,hydrogen_sulfide_imputation_method,voc_imputation_method,carbon_dioxide_imputation_method
2021-09-23 17:40:00,ML001,WC001,32.92,46.33,90.0,693.0,0.05,1.37,19.88,False,0,original,original,original,original,original,original,original
2021-09-23 17:45:00,ML001,WC001,32.73,42.57,93.0,732.0,0.05,1.45,19.89,False,0,original,original,original,original,original,original,original
2021-09-23 17:50:00,ML001,WC001,32.59,41.57,97.0,725.0,0.05,1.45,19.89,False,0,original,original,original,original,original,original,original
2021-09-23 17:55:00,ML001,WC001,32.48,42.69,101.0,748.0,0.05,1.3,19.89,False,0,original,original,original,original,original,original,original
2021-09-23 18:00:00,ML001,WC001,32.39,43.28,105.0,787.0,0.06,1.42,19.87,False,0,original,original,original,original,original,original,original
2021-09-23 18:05:00,ML001,WC001,32.28,44.04,109.0,800.0,0.06,1.47,19.84,False,0,original,original,original,original,original,original,original
2021-09-23 18:10:00,ML001,WC001,32.22,44.61,113.0,767.0,0.06,1.41,19.84,False,0,original,original,original,original,original,original,original
2021-09-23 18:15:00,ML001,WC001,32.18,45.0,116.0,787.0,0.06,1.62,19.84,False,0,original,original,original,original,original,original,original
2021-09-23 18:20:00,ML001,WC001,32.13,45.5,119.0,718.0,0.06,1.44,19.83,False,0,original,original,original,original,original,original,original
2021-09-23 18:25:00,ML001,WC001,32.15,45.91,123.0,738.0,0.06,1.6,19.82,False,0,original,original,original,original,original,original,original
2021-09-23 18:30:00,ML001,WC001,32.11,46.42,126.0,739.0,0.06,1.54,19.83,False,0,original,original,original,original,original,original,original
2021-09-23 18:35:00,ML001,WC001,32.12,46.66,128.0,701.0,0.07,1.54,19.85,False,0,original,original,original,original,original,original,original
2021-09-23 18:40:00,ML001,WC001,32.14,47.0,131.0,735.0,0.07,1.49,19.82,False,0,original,original,original,original,original,original,original
2021-09-23 18:45:00,ML001,WC001,32.16,47.25,134.0,677.0,0.06,1.61,19.83,False,0,original,original,original,original,original,original,original
2021-09-23 18:50:00,ML001,WC001,32.14,47.78,137.0,690.0,0.07,1.51,19.82,False,0,original,original,original,original,original,original,original
2021-09-23 18:55:00,ML001,WC001,32.16,47.7,140.0,718.0,0.07,1.75,19.79,False,0,original,original,original,original,original,original,original
2021-09-23 19:00:00,ML001,WC001,32.17,48.1,142.0,669.0,0.07,1.57,19.85,False,0,original,original,original,original,original,original,original
2021-09-23 19:05:00,ML001,WC001,32.16,48.45,144.0,645.0,0.07,1.54,19.78,False,0,original,original,original,original,original,original,original
